ru	snake
pɐm	sit
puj	full
var	mushroom
tsa	eat (rice)
ri	son-in-law
vuk	belly
jɐk	ashamed
pʰew	wash (hands)
laj	forget
ha	axe
ci	salt
tʰɐk	kick
ŋum	round
ʃim	mortar
mi	give
tʰuj	awaken
ʃim	sweet
veŋ	lightweight
mɐŋ	dream
ca	ant
paj	can/be easy
mej	fire
suj	tempt
si	water buffalo, mathun
paŋ	hand/arm
tʰu	exchange
nɐ	thou
nɐm	deceive
la	daughter
vak	rightside
tʰej	know/see
la	ashes
kʰop	sew, stitch
ra	sharpen
rew	crab
ta	be far off
con	help
maj	face
tsat	rice (cooked)
reŋ	hunt animals
luj	field
